"stop_id","stop_code","stop_name","stop_lat","stop_lon","zone_id","stop_url","location_type","parent_station","stop_timezone","wheelchair_boarding"
"810172","810172","CAJAMARQUILLA B","-12.02272","-77.000738","","","0","","America/Lima","0"
"810173","810173","ASCARRUZ B","-12.0161969","-77.0018361","","","0","","America/Lima","0"
"500428","500428","PARQUE ZONAL","-12.0109138","-77.0030861","","","0","","America/Lima","0"
"810174","810174","CELIMAB","-12.0136969","-77.0018888","","","0","","America/Lima","0"
"500427","500427","BRITANICO","-12.0092483","-77.0041013","","","0","","America/Lima","0"
"650","650","Marina & Universitaria OE 206","-12.0783297","-77.0814197","","","0","","America/Lima","0"
"651","651","Sauces OE 206","-12.0930097","-77.03794","","","0","","America/Lima","0"
"652","652","Arenales OE 206","-12.0925997","-77.0347197","","","0","","America/Lima","0"
"653","653","Orquideas OE 206","-12.0916997","-77.0284097","","","0","","America/Lima","0"
"654","654","Masias OE 206","-12.0914","-77.0261897","","","0","","America/Lima","0"
"500432","500432","LAS AMATITAS","-11.9999808","-77.0087375","","","0","","America/Lima","0"
"655","655","Guardia Civil OE 206","-12.0888797","-77.0079197","","","0","","America/Lima","0"
"656","656","Aviacion OE 206","-12.08852","-77.0047297","","","0","","America/Lima","0"
"657","657","Univ de lima OE 206","-12.0838063","-76.9719044","","","0","","America/Lima","0"
"658","658","Camacho OE 206","-12.0815297","-76.9672427","","","0","","America/Lima","0"
"659","659","Universidad de Lima EO 209","-12.08355","-76.9728","","","0","","America/Lima","0"
"810186","810186","CANTO REY B","-11.9784","-77.00396","","","0","","America/Lima","0"
"325226","325226","Guardia Republicana","-12.0297469","-77.0356661","","","0","","America/Lima","0"
"325227","325227","Pizarro - NS","-12.0329719","-77.0382211","","","0","","America/Lima","0"
"810187","810187","METRO 8","-11.97601","-77.00165","","","0","","America/Lima","0"
"325228","325228","Arancibia - SN","-12.0341","-77.0382619","","","0","","America/Lima","0"
"810188","810188","ESTACION SAN MARTIN","-11.975018","-77.000408","","","0","","America/Lima","0"
"810189","810189","AV. SAN MARTIN B","-11.9724111","-76.9967438","","","0","","America/Lima","0"
"500415","500415","Lima","-12.0250988","-77.0115569","","","0","","America/Lima","0"
"810180","810180","17 PROCERES B","-11.993725","-77.010565","","","0","","America/Lima","0"
"810181","810181","20PROCERES B","-11.9901261","-77.0107249","","","0","","America/Lima","0"
"500419","500419","AUGUSTO B. LEGUIA","-11.9493466","-76.9802133","","","0","","America/Lima","0"
"810182","810182","21PROCERES B","-11.987483","-77.00842","","","0","","America/Lima","0"
"810183","810183","ESTACION SAN CARLOS B","-11.9850549","-77.0066969","","","0","","America/Lima","0"
"500418","500418","CALLE 3","-11.942758","-76.9756536","","","0","","America/Lima","0"
"810184","810184","DURAZNOS","-11.9813949","-77.0054638","","","0","","America/Lima","0"
"500417","500417","SANTA MARIA","-11.9418994","-76.9750602","","","0","","America/Lima","0"
"500416","500416","La Doce","-12.003003","-77.0080261","","","0","","America/Lima","0"
"660","660","Evitamiento EO 209","-12.08459","-76.98014","","","0","","America/Lima","0"
"661","661","Masias EO 209","-12.0910397","-77.0253697","","","0","","America/Lima","0"
"662","662","Orquideas EO 209","-12.0914047","-77.0279377","","","0","","America/Lima","0"
"663","663","Salaverry EO 209","-12.09313","-77.05292","","","0","","America/Lima","0"
"664","664","Escobedo EO 209","-12.09018","-77.0573397","","","0","","America/Lima","0"
"500422","500422","CARCAMO","-11.95289","-76.9824316","","","0","","America/Lima","0"
"665","665","LaMar OE 209","-12.0746266","-77.0795736","","","0","","America/Lima","0"
"500421","500421","CIRO ALEGRIA","-11.9517791","-76.981893","","","0","","America/Lima","0"
"666","666","Marina&Universitaria OE 209","-12.0783297","-77.0814197","","","0","","America/Lima","0"
"667","667","Sauces OE 209","-12.0930097","-77.03794","","","0","","America/Lima","0"
"668","668","Arenales OE 209","-12.0925997","-77.0347197","","","0","","America/Lima","0"
"669","669","Orquideas OE 209","-12.0916997","-77.0284097","","","0","","America/Lima","0"
"325231","325231","Amancaes - NS","-12.0210438","-77.0297911","","","0","","America/Lima","0"
"325233","325233","Patio CTA","-12.022623","-77.037843","","","0","","America/Lima","0"
"325219","325219","ELSOL22","-12.0213888","-77.0296611","","","0","","America/Lima","0"
"670","670","Masias OE 209","-12.0914","-77.0261897","","","0","","America/Lima","0"
"671","671","GuardiaCivil OE 209","-12.0888797","-77.0079197","","","0","","America/Lima","0"
"672","672","Aviacion OE 209","-12.08852","-77.0047297","","","0","","America/Lima","0"
"673","673","Universidad de Lima OE 209","-12.0838063","-76.9719044","","","0","","America/Lima","0"
"674","674","Camacho OE 209","-12.0815297","-76.9672427","","","0","","America/Lima","0"
"675","675","Universidad de Lima EO 204","-12.08355","-76.9728","","","0","","America/Lima","0"
"676","676","Evitamiento EO 204","-12.08459","-76.98014","","","0","","America/Lima","0"
